input,output
I want dim lights in the bathroom.,"{""bathroom"": {""lights"": ""dim""}}"
"Hey home, Hey, open the blinds in the balcony please., also in the living_room, set lights to bright.","{""balcony"": {""blinds"": ""open""}, ""living_room"": {""lights"": ""bright""}}"
"Please Can you activate the tv in the hall?; close the blinds in the balcony; in the bathroom, set lights to dim; I want bright lights in the hall. thanks.","{""balcony"": {""blinds"": ""close""}, ""bathroom"": {""lights"": ""dim""}, ""hall"": {""lights"": ""bright"", ""tv"": ""on""}}"
turn on the fan in the living_room,"{""living_room"": {""fan"": ""on""}}"
Could you set the lights in the living_room to bright?,"{""living_room"": {""lights"": ""bright""}}"
Could you fire up the exhaust in the bathroom; I want the computer in the study_room on. please!,"{""bathroom"": {""exhaust"": ""on""}, ""study_room"": {""computer"": ""on""}}"
"Hey, I want dim lights in the bathroom., then switch off the exhaust in the kitchen, then switch off the lights in the hall, then deactivate the fan in the living_room.","{""bathroom"": {""lights"": ""dim""}, ""hall"": {""lights"": ""off""}, ""kitchen"": {""exhaust"": ""off""}, ""living_room"": {""fan"": ""off""}}"
Please set bathroom lights to dim.,"{""bathroom"": {""lights"": ""dim""}}"
fire up the tv in the living_room,"{""living_room"": {""tv"": ""on""}}"
power off the tv in the hall,"{""hall"": {""tv"": ""off""}}"
"Could you in the hall, switch on the tv, also Set the tv to off in the living_room..","{""hall"": {""tv"": ""on""}, ""living_room"": {""tv"": ""off""}}"
"I want to Hey home, turn off the ac in the dining_room.; turn the lights to warm in the bedroom; close the blinds in the balcony.","{""balcony"": {""blinds"": ""close""}, ""bedroom"": {""lights"": ""warm""}, ""dining_room"": {""ac"": ""off""}}"
Set the ac to off in the bedroom.,"{""bedroom"": {""ac"": ""off""}}"
in the living_room turn off the music_system,"{""living_room"": {""music_system"": ""off""}}"
power on the ac in the dining_room,"{""dining_room"": {""ac"": ""on""}}"
switch the dining_room lights to warm,"{""dining_room"": {""lights"": ""warm""}}"
"Please start the fan in the kitchen; in the living_room, switch on the fan; open the blinds in the balcony thanks.","{""balcony"": {""blinds"": ""open""}, ""kitchen"": {""fan"": ""on""}, ""living_room"": {""fan"": ""on""}}"
disable the lights in the bathroom,"{""bathroom"": {""lights"": ""off""}}"
"Kindly adjust the lights to warm in the bathroom; Hey, make the balcony lights bright.; adjust the ac to 21°C in the bedroom; adjust the lights to bright in the bedroom","{""balcony"": {""lights"": ""bright""}, ""bathroom"": {""lights"": ""warm""}, ""bedroom"": {""ac"": ""21\u00b0C"", ""lights"": ""bright""}}"
"Kindly Hey, make the living_room lights dim.; Could you turn off the fan in the dining_room?; Please turn on the fan in the bedroom.","{""bedroom"": {""fan"": ""on""}, ""dining_room"": {""fan"": ""off""}, ""living_room"": {""lights"": ""dim""}}"
switch off the lights in the bathroom,"{""bathroom"": {""lights"": ""off""}}"
"Please adjust the ac to 23°C in the dining_room; Hey, open the blinds in the balcony please. now.","{""balcony"": {""blinds"": ""open""}, ""dining_room"": {""ac"": ""23\u00b0C""}}"
"Hey, make the balcony lights warm. & in the kitchen turn on the exhaust & switch off the lights in the kitchen","{""balcony"": {""lights"": ""warm""}, ""kitchen"": {""exhaust"": ""on"", ""lights"": ""off""}}"
"Could you Hey, make the dining_room lights warm. and Please close the balcony blinds..","{""balcony"": {""blinds"": ""close""}, ""dining_room"": {""lights"": ""warm""}}"
"Could you in the hall, set lights to dim and I want bright lights in the bathroom. please. now.","{""bathroom"": {""lights"": ""bright""}, ""hall"": {""lights"": ""dim""}}"
Set the tv to off in the living_room.,"{""living_room"": {""tv"": ""off""}}"
Could you Set the fan to off in the study_room. and activate the exhaust in the kitchen please.,"{""kitchen"": {""exhaust"": ""on""}, ""study_room"": {""fan"": ""off""}}"
I want the exhaust in the bathroom on.,"{""bathroom"": {""exhaust"": ""on""}}"
Could you set the lights in the kitchen to bright?,"{""kitchen"": {""lights"": ""bright""}}"
"Hey, turn off the exhaust in the kitchen please.","{""kitchen"": {""exhaust"": ""off""}}"
I need to stop the fan in the dining_room and adjust the lights to warm in the dining_room and Please turn on the exhaust in the bathroom. please. now.,"{""bathroom"": {""exhaust"": ""on""}, ""dining_room"": {""fan"": ""off"", ""lights"": ""warm""}}"
activate the lights in the living_room,"{""living_room"": {""lights"": ""on""}}"
Could you turn the lights to bright in the hall; Please set the ac to 20°C in the bedroom.; shut off the exhaust in the bathroom please.,"{""bathroom"": {""exhaust"": ""off""}, ""bedroom"": {""ac"": ""20\u00b0C""}, ""hall"": {""lights"": ""bright""}}"
"in the dining_room, switch off the ac; fire up the geyser in the bathroom thanks.","{""bathroom"": {""geyser"": ""on""}, ""dining_room"": {""ac"": ""off""}}"
I need to Could you open the blinds in the balcony? and enable the fan in the living_room please!,"{""balcony"": {""blinds"": ""open""}, ""living_room"": {""fan"": ""on""}}"
disable the lights in the balcony,"{""balcony"": {""lights"": ""off""}}"
"I need to Set the geyser to on in the bathroom. and in the living_room, set music to medium and I want the fan in the dining_room on..","{""bathroom"": {""geyser"": ""on""}, ""dining_room"": {""fan"": ""on""}, ""living_room"": {""music_system"": ""medium""}}"
"Hey home, Could you close the blinds in the bedroom? and Please turn on the tv in the hall. and power off the geyser in the bathroom please!","{""bathroom"": {""geyser"": ""off""}, ""bedroom"": {""blinds"": ""close""}, ""hall"": {""tv"": ""on""}}"
"Hey home, Hey, turn on the tv in the hall please. & in the living_room, set music to relax & Set the exhaust to off in the bathroom. & Hey home, turn off the fan in the study_room., thanks.","{""bathroom"": {""exhaust"": ""off""}, ""hall"": {""tv"": ""on""}, ""living_room"": {""music_system"": ""relax""}, ""study_room"": {""fan"": ""off""}}"
"Kindly turn the lights to warm in the dining_room, then Hey, turn on the tv in the hall please. please!","{""dining_room"": {""lights"": ""warm""}, ""hall"": {""tv"": ""on""}}"
"in the balcony, open the blinds","{""balcony"": {""blinds"": ""open""}}"
I want warm lights in the hall.,"{""hall"": {""lights"": ""warm""}}"
"I need to deactivate the lights in the bathroom, then set the lights to warm in the hall, then switch the kitchen lights to dim","{""bathroom"": {""lights"": ""off""}, ""hall"": {""lights"": ""warm""}, ""kitchen"": {""lights"": ""dim""}}"
"in the balcony, close the blinds","{""balcony"": {""blinds"": ""close""}}"
Set the geyser to off in the bathroom.,"{""bathroom"": {""geyser"": ""off""}}"
"Hey, turn on the tv in the living_room please.","{""living_room"": {""tv"": ""on""}}"
"in the kitchen, switch off the exhaust","{""kitchen"": {""exhaust"": ""off""}}"
"Hey, set the bedroom ac to 18°C. and I want the exhaust in the kitchen on. and open the blinds in the bedroom thanks.","{""bedroom"": {""ac"": ""18\u00b0C"", ""blinds"": ""open""}, ""kitchen"": {""exhaust"": ""on""}}"
"Please open the blinds in the balcony, also Kindly turn off the lights in the hall., also switch on the exhaust in the bathroom","{""balcony"": {""blinds"": ""open""}, ""bathroom"": {""exhaust"": ""on""}, ""hall"": {""lights"": ""off""}}"
"Hey, turn the lights to dim in the balcony, then Set the fan to on in the living_room. please. now.","{""balcony"": {""lights"": ""dim""}, ""living_room"": {""fan"": ""on""}}"
power on the fan in the bedroom,"{""bedroom"": {""fan"": ""on""}}"
"Hey home, turn off the lights in the dining_room.","{""dining_room"": {""lights"": ""off""}}"
Please turn off the geyser in the bathroom.,"{""bathroom"": {""geyser"": ""off""}}"
"Hey home, switch the living_room lights to warm, also power on the tv in the hall, also Hey, make the hall lights bright. now.","{""hall"": {""lights"": ""bright"", ""tv"": ""on""}, ""living_room"": {""lights"": ""warm""}}"
"Hey, turn on the fan in the living_room please.","{""living_room"": {""fan"": ""on""}}"
"Can you shut off the exhaust in the kitchen, then Please turn off the lights in the hall.","{""hall"": {""lights"": ""off""}, ""kitchen"": {""exhaust"": ""off""}}"
Can you activate the exhaust in the bathroom?,"{""bathroom"": {""exhaust"": ""on""}}"
Please activate the tv in the living_room and I want the fan in the study_room on..,"{""living_room"": {""tv"": ""on""}, ""study_room"": {""fan"": ""on""}}"
"Could you Hey home, turn off the fan in the dining_room., then Hey, turn on the fan in the study_room please. please!","{""dining_room"": {""fan"": ""off""}, ""study_room"": {""fan"": ""on""}}"
"I want to set the lights to bright in the hall, also enable the geyser in the bathroom, also in the bathroom, set lights to dim now.","{""bathroom"": {""geyser"": ""on"", ""lights"": ""dim""}, ""hall"": {""lights"": ""bright""}}"
Set up start work mode please.,"{""dining_room"": {""ac"": ""23\u00b0C""}, ""kitchen"": {""lights"": ""on""}, ""study_room"": {""computer"": ""on"", ""fan"": ""on"", ""lights"": ""bright""}}"
"Could you switch the living_room lights to dim; Hey, open the blinds in the balcony please. please.","{""balcony"": {""blinds"": ""open""}, ""living_room"": {""lights"": ""dim""}}"
Movie mode please.,"{""hall"": {""lights"": ""off""}, ""living_room"": {""fan"": ""on"", ""lights"": ""dim"", ""tv"": ""on""}}"
I want the tv in the hall on.,"{""hall"": {""tv"": ""on""}}"
"I want to fire up the exhaust in the bathroom, also in the balcony, close the blinds please. now.","{""balcony"": {""blinds"": ""close""}, ""bathroom"": {""exhaust"": ""on""}}"
"Kindly Please set living_room lights to bright., also I want the fan in the bedroom on., also Please set the ac to 22°C in the bedroom., also in the hall, set lights to bright, thanks.","{""bedroom"": {""ac"": ""22\u00b0C"", ""fan"": ""on""}, ""hall"": {""lights"": ""bright""}, ""living_room"": {""lights"": ""bright""}}"
Please open the bedroom blinds.,"{""bedroom"": {""blinds"": ""open""}}"
I need to Can you deactivate the lights in the bathroom?; switch on the tv in the hall,"{""bathroom"": {""lights"": ""off""}, ""hall"": {""tv"": ""on""}}"
"Hey, make the living_room lights bright.","{""living_room"": {""lights"": ""bright""}}"
"Hey, enable the tv in the living_room and in the dining_room turn on the fan and in the kitchen, switch off the lights please.","{""dining_room"": {""fan"": ""on""}, ""kitchen"": {""lights"": ""off""}, ""living_room"": {""tv"": ""on""}}"
"Could you open the blinds in the balcony? & start the geyser in the bathroom & set the lights to warm in the bathroom, thanks.","{""balcony"": {""blinds"": ""open""}, ""bathroom"": {""geyser"": ""on"", ""lights"": ""warm""}}"
Please turn off the lights in the bathroom.; set the lights to warm in the hall; power on the geyser in the bathroom thanks.,"{""bathroom"": {""geyser"": ""on"", ""lights"": ""off""}, ""hall"": {""lights"": ""warm""}}"
in the living_room turn on the tv,"{""living_room"": {""tv"": ""on""}}"
Cooking mode on please.,"{""kitchen"": {""exhaust"": ""on"", ""fan"": ""on"", ""lights"": ""bright""}}"
"Please Hey, turn on the lights in the balcony please.; set the ac to 20°C in the dining_room now.","{""balcony"": {""lights"": ""on""}, ""dining_room"": {""ac"": ""20\u00b0C""}}"
stop the fan in the dining_room,"{""dining_room"": {""fan"": ""off""}}"
Kindly activate the tv in the hall & Please set study_room lights to dim.,"{""hall"": {""tv"": ""on""}, ""study_room"": {""lights"": ""dim""}}"
Kindly Could you set the ac in the dining_room to 20°C?; Could you turn off the tv in the hall?.,"{""dining_room"": {""ac"": ""20\u00b0C""}, ""hall"": {""tv"": ""off""}}"
"Hey, make the bedroom lights warm., then switch the study_room lights to bright, then Hey home, turn on the tv in the hall., then Hey home, turn on the fan in the dining_room. now.","{""bedroom"": {""lights"": ""warm""}, ""dining_room"": {""fan"": ""on""}, ""hall"": {""tv"": ""on""}, ""study_room"": {""lights"": ""bright""}}"
"Can you Set the lights to off in the bathroom., also turn the lights to dim in the bedroom, also Kindly turn off the geyser in the bathroom.","{""bathroom"": {""geyser"": ""off"", ""lights"": ""off""}, ""bedroom"": {""lights"": ""dim""}}"
"Hey, Hey, open the blinds in the balcony please. & switch the hall lights to dim & Hey home, turn off the lights in the kitchen..","{""balcony"": {""blinds"": ""open""}, ""hall"": {""lights"": ""dim""}, ""kitchen"": {""lights"": ""off""}}"
switch off the lights in the hall,"{""hall"": {""lights"": ""off""}}"
"Can you Hey, make the study_room lights dim. & power off the tv in the hall","{""hall"": {""tv"": ""off""}, ""study_room"": {""lights"": ""dim""}}"
Could you disable the fan in the dining_room & I want the tv in the living_room off. please. now.,"{""dining_room"": {""fan"": ""off""}, ""living_room"": {""tv"": ""off""}}"
I want the tv in the hall on.,"{""hall"": {""tv"": ""on""}}"
"Hey, turn off the fan in the kitchen please., then Kindly turn off the tv in the hall., then Hey, set the bedroom ac to 22°C. please. now.","{""bedroom"": {""ac"": ""22\u00b0C""}, ""hall"": {""tv"": ""off""}, ""kitchen"": {""fan"": ""off""}}"
"Please Set the fan to on in the bedroom.; shut off the fan in the dining_room; Hey, make the dining_room lights warm..","{""bedroom"": {""fan"": ""on""}, ""dining_room"": {""fan"": ""off"", ""lights"": ""warm""}}"
Could you Please turn off the tv in the living_room. & set the lights to warm in the bathroom & Please set hall lights to dim. & in the kitchen turn on the fan thanks.,"{""bathroom"": {""lights"": ""warm""}, ""hall"": {""lights"": ""dim""}, ""kitchen"": {""fan"": ""on""}, ""living_room"": {""tv"": ""off""}}"
"Please turn on the fan in the bedroom; Hey, close the blinds in the balcony please..","{""balcony"": {""blinds"": ""close""}, ""bedroom"": {""fan"": ""on""}}"
disable the fan in the dining_room,"{""dining_room"": {""fan"": ""off""}}"
Please turn on the tv in the living_room.,"{""living_room"": {""tv"": ""on""}}"
"in the balcony, close the blinds","{""balcony"": {""blinds"": ""close""}}"
Kindly turn on the fan in the study_room.,"{""study_room"": {""fan"": ""on""}}"
Could you stop the tv in the hall and Can you activate the fan in the dining_room? and Could you set the ac in the bedroom to 25°C? please.,"{""bedroom"": {""ac"": ""25\u00b0C""}, ""dining_room"": {""fan"": ""on""}, ""hall"": {""tv"": ""off""}}"
Turn on party mode.,"{""dining_room"": {""lights"": ""bright""}, ""hall"": {""lights"": ""bright""}, ""kitchen"": {""lights"": ""on""}, ""living_room"": {""fan"": ""on"", ""lights"": ""bright"", ""music_system"": ""party"", ""tv"": ""on""}}"
deactivate the lights in the hall,"{""hall"": {""lights"": ""off""}}"
"in the hall, switch on the tv","{""hall"": {""tv"": ""on""}}"
"in the balcony, close the blinds","{""balcony"": {""blinds"": ""close""}}"
switch off the lights in the hall,"{""hall"": {""lights"": ""off""}}"
"Can you Set the lights to on in the bedroom.; Hey, turn off the lights in the kitchen please. please!","{""bedroom"": {""lights"": ""on""}, ""kitchen"": {""lights"": ""off""}}"
"I want bright lights in the hall.; adjust the lights to bright in the balcony, thanks.","{""balcony"": {""lights"": ""bright""}, ""hall"": {""lights"": ""bright""}}"
Set the house for relaxing.,"{""bedroom"": {""ac"": ""23\u00b0C"", ""lights"": ""dim""}, ""living_room"": {""fan"": ""on"", ""lights"": ""warm"", ""music_system"": ""relax""}}"
Please open the balcony blinds. & Please set bathroom lights to bright..,"{""balcony"": {""blinds"": ""open""}, ""bathroom"": {""lights"": ""bright""}}"
"Hey, open the blinds in the balcony please.","{""balcony"": {""blinds"": ""open""}}"
Please Please open the bedroom blinds. and I want the geyser in the bathroom on.,"{""bathroom"": {""geyser"": ""on""}, ""bedroom"": {""blinds"": ""open""}}"
"Hey home, turn on the lights in the hall, also Can you activate the fan in the dining_room?, also activate the tv in the hall","{""dining_room"": {""fan"": ""on""}, ""hall"": {""lights"": ""on"", ""tv"": ""on""}}"
Set the geyser to on in the bathroom.,"{""bathroom"": {""geyser"": ""on""}}"
"Hey home, switch on the fan in the bedroom and Kindly turn on the fan in the dining_room., thanks.","{""bedroom"": {""fan"": ""on""}, ""dining_room"": {""fan"": ""on""}}"
Time to unwind.,"{""bedroom"": {""ac"": ""23\u00b0C"", ""lights"": ""dim""}, ""living_room"": {""fan"": ""on"", ""lights"": ""warm"", ""music_system"": ""relax""}}"
shut off the lights in the kitchen,"{""kitchen"": {""lights"": ""off""}}"
switch the kitchen lights to warm & turn on the fan in the dining_room,"{""dining_room"": {""fan"": ""on""}, ""kitchen"": {""lights"": ""warm""}}"
I need to I want dim lights in the balcony. and close the blinds in the balcony,"{""balcony"": {""blinds"": ""close"", ""lights"": ""dim""}}"
"Hey, open the blinds in the balcony please. and disable the ac in the dining_room and Please turn on the exhaust in the kitchen., thanks.","{""balcony"": {""blinds"": ""open""}, ""dining_room"": {""ac"": ""off""}, ""kitchen"": {""exhaust"": ""on""}}"
switch on the tv in the hall,"{""hall"": {""tv"": ""on""}}"
I want bright lights in the dining_room.,"{""dining_room"": {""lights"": ""bright""}}"
Could you close the blinds in the balcony?,"{""balcony"": {""blinds"": ""close""}}"
"in the dining_room, set lights to bright, then enable the fan in the bedroom","{""bedroom"": {""fan"": ""on""}, ""dining_room"": {""lights"": ""bright""}}"
stop the music_system in the living_room,"{""living_room"": {""music_system"": ""off""}}"
Unwind mode on.,"{""bedroom"": {""ac"": ""23\u00b0C"", ""lights"": ""dim""}, ""living_room"": {""fan"": ""on"", ""lights"": ""warm"", ""music_system"": ""relax""}}"
turn the lights to dim in the balcony and Please open the balcony blinds. and turn off the tv in the hall,"{""balcony"": {""blinds"": ""open"", ""lights"": ""dim""}, ""hall"": {""tv"": ""off""}}"
enable the exhaust in the kitchen,"{""kitchen"": {""exhaust"": ""on""}}"
"Can you turn on the fan in the kitchen, also Can you activate the tv in the hall? please. now.","{""hall"": {""tv"": ""on""}, ""kitchen"": {""fan"": ""on""}}"
Could you turn the lights to bright in the dining_room & I want dim lights in the balcony. & Kindly turn off the fan in the kitchen. & I want warm lights in the hall. please!,"{""balcony"": {""lights"": ""dim""}, ""dining_room"": {""lights"": ""bright""}, ""hall"": {""lights"": ""warm""}, ""kitchen"": {""fan"": ""off""}}"
in the dining_room turn off the fan,"{""dining_room"": {""fan"": ""off""}}"
Please set bedroom lights to warm. & Please turn on the computer in the study_room. & I want the tv in the hall off. thanks.,"{""bedroom"": {""lights"": ""warm""}, ""hall"": {""tv"": ""off""}, ""study_room"": {""computer"": ""on""}}"
"Hey, open the blinds in the bedroom please.","{""bedroom"": {""blinds"": ""open""}}"
"Hey, turn on the tv in the hall please.","{""hall"": {""tv"": ""on""}}"
I want bright lights in the study_room.,"{""study_room"": {""lights"": ""bright""}}"
I want warm lights in the balcony.,"{""balcony"": {""lights"": ""warm""}}"
"Can you Hey home, turn off the tv in the hall., also turn the lights to dim in the study_room","{""hall"": {""tv"": ""off""}, ""study_room"": {""lights"": ""dim""}}"
"Hey, relax mode please.","{""bedroom"": {""ac"": ""23\u00b0C"", ""lights"": ""dim""}, ""living_room"": {""fan"": ""on"", ""lights"": ""warm"", ""music_system"": ""relax""}}"
"enable the fan in the study_room and power off the lights in the bedroom and Could you turn off the geyser in the bathroom?, thanks.","{""bathroom"": {""geyser"": ""off""}, ""bedroom"": {""lights"": ""off""}, ""study_room"": {""fan"": ""on""}}"
activate the geyser in the bathroom,"{""bathroom"": {""geyser"": ""on""}}"
I want the tv in the hall off.,"{""hall"": {""tv"": ""off""}}"
I want the ac at 20°C in the bedroom.,"{""bedroom"": {""ac"": ""20\u00b0C""}}"
activate the fan in the dining_room,"{""dining_room"": {""fan"": ""on""}}"
"Could you Hey home, turn off the tv in the living_room.; Hey, make the hall lights dim. thanks.","{""hall"": {""lights"": ""dim""}, ""living_room"": {""tv"": ""off""}}"
set the music_system to soft in the living_room,"{""living_room"": {""music_system"": ""soft""}}"
Could you Could you turn off the fan in the kitchen? and power off the lights in the bathroom please.,"{""bathroom"": {""lights"": ""off""}, ""kitchen"": {""fan"": ""off""}}"
"I want dim lights in the balcony., also Hey, play some medium music in the living_room. thanks.","{""balcony"": {""lights"": ""dim""}, ""living_room"": {""music_system"": ""medium""}}"
turn off the ac in the bedroom,"{""bedroom"": {""ac"": ""off""}}"
"start the computer in the study_room & in the kitchen, set lights to dim please.","{""kitchen"": {""lights"": ""dim""}, ""study_room"": {""computer"": ""on""}}"
fire up the tv in the hall,"{""hall"": {""tv"": ""on""}}"
"Please I want the fan in the study_room on., then Set the tv to off in the hall. please.","{""hall"": {""tv"": ""off""}, ""study_room"": {""fan"": ""on""}}"
"Hey home, stop the lights in the balcony; Hey, make the living_room lights warm.; turn on the exhaust in the kitchen please!","{""balcony"": {""lights"": ""off""}, ""kitchen"": {""exhaust"": ""on""}, ""living_room"": {""lights"": ""warm""}}"
"Hey, close the blinds in the balcony please.; in the living_room, switch on the tv; disable the exhaust in the kitchen; Hey, make the bathroom lights dim. please!","{""balcony"": {""blinds"": ""close""}, ""bathroom"": {""lights"": ""dim""}, ""kitchen"": {""exhaust"": ""off""}, ""living_room"": {""tv"": ""on""}}"
switch the hall lights to dim,"{""hall"": {""lights"": ""dim""}}"
Could you Kindly turn on the tv in the living_room. and turn off the tv in the hall please!,"{""hall"": {""tv"": ""off""}, ""living_room"": {""tv"": ""on""}}"
"Hey home, Can you activate the fan in the kitchen?, then I want the exhaust in the kitchen on. please. now.","{""kitchen"": {""exhaust"": ""on"", ""fan"": ""on""}}"
"I'm going to cook, prepare the kitchen.","{""kitchen"": {""exhaust"": ""on"", ""fan"": ""on"", ""lights"": ""bright""}}"
Please set the music_system to soft in the living_room.,"{""living_room"": {""music_system"": ""soft""}}"
"Hey home, activate the exhaust in the bathroom and in the living_room, set lights to bright and in the dining_room turn on the fan and enable the tv in the hall, thanks.","{""bathroom"": {""exhaust"": ""on""}, ""dining_room"": {""fan"": ""on""}, ""hall"": {""tv"": ""on""}, ""living_room"": {""lights"": ""bright""}}"
stop the tv in the hall,"{""hall"": {""tv"": ""off""}}"
Can you activate the tv in the living_room? & stop the lights in the living_room & in the kitchen turn on the exhaust & Please open the balcony blinds. thanks.,"{""balcony"": {""blinds"": ""open""}, ""kitchen"": {""exhaust"": ""on""}, ""living_room"": {""lights"": ""off"", ""tv"": ""on""}}"
Kindly turn on the fan in the dining_room.,"{""dining_room"": {""fan"": ""on""}}"
"Could you Please set balcony lights to bright., also power on the fan in the bedroom, also activate the geyser in the bathroom thanks.","{""balcony"": {""lights"": ""bright""}, ""bathroom"": {""geyser"": ""on""}, ""bedroom"": {""fan"": ""on""}}"
"I want to in the living_room, switch off the tv and in the bedroom, open the blinds and in the kitchen, switch on the fan and turn the lights to warm in the hall","{""bedroom"": {""blinds"": ""open""}, ""hall"": {""lights"": ""warm""}, ""kitchen"": {""fan"": ""on""}, ""living_room"": {""tv"": ""off""}}"
turn the lights to dim in the hall,"{""hall"": {""lights"": ""dim""}}"
Please turn on the lights in the hall.,"{""hall"": {""lights"": ""on""}}"
Set the dining room for dinner.,"{""dining_room"": {""ac"": ""23\u00b0C"", ""fan"": ""on"", ""lights"": ""warm""}, ""kitchen"": {""exhaust"": ""on"", ""lights"": ""on""}, ""living_room"": {""music_system"": ""soft""}}"
Could you turn on the fan in the bedroom?,"{""bedroom"": {""fan"": ""on""}}"
"Hey home, turn on the fan in the dining_room.","{""dining_room"": {""fan"": ""on""}}"
"Time for dinner, set up.","{""dining_room"": {""ac"": ""23\u00b0C"", ""fan"": ""on"", ""lights"": ""warm""}, ""kitchen"": {""exhaust"": ""on"", ""lights"": ""on""}, ""living_room"": {""music_system"": ""soft""}}"
Set everything for party.,"{""dining_room"": {""lights"": ""bright""}, ""hall"": {""lights"": ""bright""}, ""kitchen"": {""lights"": ""on""}, ""living_room"": {""fan"": ""on"", ""lights"": ""bright"", ""music_system"": ""party"", ""tv"": ""on""}}"
"Hey home, turn on the fan in the kitchen.","{""kitchen"": {""fan"": ""on""}}"
"Hey, Hey, make the living_room lights dim. & activate the tv in the hall please.","{""hall"": {""tv"": ""on""}, ""living_room"": {""lights"": ""dim""}}"
"Could you set the ac to 23°C in the bedroom, then power on the exhaust in the kitchen","{""bedroom"": {""ac"": ""23\u00b0C""}, ""kitchen"": {""exhaust"": ""on""}}"
Please set hall lights to dim.,"{""hall"": {""lights"": ""dim""}}"
I need to shut off the tv in the hall and set the lights to dim in the bathroom,"{""bathroom"": {""lights"": ""dim""}, ""hall"": {""tv"": ""off""}}"
stop the lights in the kitchen,"{""kitchen"": {""lights"": ""off""}}"
Please turn off the exhaust in the kitchen.,"{""kitchen"": {""exhaust"": ""off""}}"
"Can you I want the ac at 22°C in the bedroom. and Hey, make the balcony lights bright. please. now.","{""balcony"": {""lights"": ""bright""}, ""bedroom"": {""ac"": ""22\u00b0C""}}"
"I want to Please turn on the geyser in the bathroom., then Could you turn on the fan in the kitchen?, then set the ac to 22°C in the bedroom","{""bathroom"": {""geyser"": ""on""}, ""bedroom"": {""ac"": ""22\u00b0C""}, ""kitchen"": {""fan"": ""on""}}"
Please start the exhaust in the kitchen and activate the lights in the balcony and turn the lights to dim in the study_room now.,"{""balcony"": {""lights"": ""on""}, ""kitchen"": {""exhaust"": ""on""}, ""study_room"": {""lights"": ""dim""}}"
"Can you switch the bathroom lights to bright, also activate the fan in the living_room please!","{""bathroom"": {""lights"": ""bright""}, ""living_room"": {""fan"": ""on""}}"
"I need to Could you turn off the tv in the hall?, also power off the exhaust in the bathroom, also set the lights to dim in the dining_room please. now.","{""bathroom"": {""exhaust"": ""off""}, ""dining_room"": {""lights"": ""dim""}, ""hall"": {""tv"": ""off""}}"
set the lights to bright in the hall,"{""hall"": {""lights"": ""bright""}}"
"I need to Hey home, turn off the fan in the study_room. and Could you turn on the fan in the bedroom? please!","{""bedroom"": {""fan"": ""on""}, ""study_room"": {""fan"": ""off""}}"
Please set bedroom lights to bright.,"{""bedroom"": {""lights"": ""bright""}}"
"Could you adjust the lights to bright in the dining_room, then I want the tv in the living_room on., thanks.","{""dining_room"": {""lights"": ""bright""}, ""living_room"": {""tv"": ""on""}}"
I want dim lights in the hall.,"{""hall"": {""lights"": ""dim""}}"
"in the balcony, open the blinds","{""balcony"": {""blinds"": ""open""}}"
"Hey, Could you turn on the fan in the kitchen?; adjust the ac to 23°C in the bedroom; in the balcony, set lights to bright","{""balcony"": {""lights"": ""bright""}, ""bedroom"": {""ac"": ""23\u00b0C""}, ""kitchen"": {""fan"": ""on""}}"
activate the fan in the living_room,"{""living_room"": {""fan"": ""on""}}"
"I want to Set the lights to off in the living_room., also Hey, close the blinds in the bedroom please., also in the study_room turn on the computer please.","{""bedroom"": {""blinds"": ""close""}, ""living_room"": {""lights"": ""off""}, ""study_room"": {""computer"": ""on""}}"
I want the lights in the kitchen off.,"{""kitchen"": {""lights"": ""off""}}"
"I need to I want bright lights in the balcony.; Hey, make the living_room lights bright.; Can you deactivate the geyser in the bathroom?","{""balcony"": {""lights"": ""bright""}, ""bathroom"": {""geyser"": ""off""}, ""living_room"": {""lights"": ""bright""}}"
Start work mode.,"{""dining_room"": {""ac"": ""23\u00b0C""}, ""kitchen"": {""lights"": ""on""}, ""study_room"": {""computer"": ""on"", ""fan"": ""on"", ""lights"": ""bright""}}"
Could you set the lights in the kitchen to bright?,"{""kitchen"": {""lights"": ""bright""}}"
"I want the tv in the hall off., then Please set the music_system to soft in the living_room., then in the kitchen turn on the exhaust.","{""hall"": {""tv"": ""off""}, ""kitchen"": {""exhaust"": ""on""}, ""living_room"": {""music_system"": ""soft""}}"
"I want to Hey home, turn off the lights in the hall. & switch off the lights in the dining_room please. now.","{""dining_room"": {""lights"": ""off""}, ""hall"": {""lights"": ""off""}}"
"Please power on the exhaust in the kitchen, also switch off the lights in the bathroom, also Hey, turn off the fan in the kitchen please., also Could you set the lights in the dining_room to warm?.","{""bathroom"": {""lights"": ""off""}, ""dining_room"": {""lights"": ""warm""}, ""kitchen"": {""exhaust"": ""on"", ""fan"": ""off""}}"
"Kindly shut off the geyser in the bathroom, also power off the exhaust in the kitchen thanks.","{""bathroom"": {""geyser"": ""off""}, ""kitchen"": {""exhaust"": ""off""}}"
Kindly turn the lights to bright in the hall; shut off the ac in the dining_room; Please set balcony lights to dim.; Could you close the blinds in the bedroom? thanks.,"{""balcony"": {""lights"": ""dim""}, ""bedroom"": {""blinds"": ""close""}, ""dining_room"": {""ac"": ""off""}, ""hall"": {""lights"": ""bright""}}"
"Hey, make the hall lights bright.","{""hall"": {""lights"": ""bright""}}"
Could you open the blinds in the bedroom?,"{""bedroom"": {""blinds"": ""open""}}"
